mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12668490409851074,0.0,0.0196533203125,0.0,1,1,2,1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.16093246142069498,0.001266540895651373,0.04359849294026693,0.003915278277080149,1,1,2,10,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.6476970513661703,0.020218527000102373,0.2532510757446289,0.016277585328540588,1,1,2,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.055677334467569985,0.0027960664431875663,0.02954379717508952,0.004105369892862463,1,1,5,1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.10549084345499675,0.009446209955389771,0.04422593116760254,0.0034227519078421143,1,1,5,10,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.6875286102294922,0.01880285990312809,0.2816263834635417,0.015755291491304235,1,1,5,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.046494086583455406,0.0039206728063370735,0.031340837478637695,0.0015527942697182641,1,2,2,1,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.10841989517211914,0.0044537216271641564,0.048337062199910484,0.0032966043983041456,1,2,2,10,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.8081594308217367,0.010375908428421121,0.2553402582804362,0.005432053382556659,1,2,2,100,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.0647885004679362,0.003333643522492995,0.034430901209513344,0.004343566106212208,1,2,5,1,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.12629183133443198,0.0036854773176731173,0.06013139088948568,0.003419828385404211,1,2,5,10,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.7372558911641439,0.031632393180340584,0.2615966002146403,0.0049619852565765295,1,2,5,100,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.06801907221476237,0.0074148853497565505,0.037245750427246094,0.009016053053770498,2,1,2,1,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.18163006125803077,0.20034643124998644,0.1810623628258514,0.1876796184446229,0.00895978721332401,55
0.1305567423502604,0.0025719064296122877,0.053545872370402016,0.005024420873503451,2,1,2,10,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.47474752999258113,0.4118041161179937,0.46324631555453666,0.44993265388837056,0.02736675023658889,37
0.8980700174967448,0.015460884673468112,0.3337741692860921,0.024139846754899944,2,1,2,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.49055267503177047,0.5201579796522874,0.5472142256751265,0.5193082934530614,0.023139782558835264,30
0.054311275482177734,0.006191541738402927,0.034836769104003906,0.0037982814306822396,2,1,5,1,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.18163006125803077,0.20034643124998644,0.1810623628258514,0.1876796184446229,0.00895978721332401,55
0.12831513086954752,0.0052263438382043155,0.05353013674418131,0.005373722499623668,2,1,5,10,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.47474752999258113,0.4118041161179937,0.46324631555453666,0.44993265388837056,0.02736675023658889,37
0.9842802683512369,0.006724760607804483,0.33539756139119464,0.046883349126543364,2,1,5,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.49055267503177047,0.5201579796522874,0.5472142256751265,0.5193082934530614,0.023139782558835264,30
0.05510799090067545,0.004997385791357158,0.036410252253214516,0.004415970863839289,2,2,2,1,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1}",0.18311036789297658,0.20034643124998644,0.1810623628258514,0.18817305398960482,0.008648387773892702,53
0.13970526059468588,0.02210926483279979,0.05910158157348633,0.007829717966702704,2,2,2,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.47474752999258113,0.4146238976225785,0.45933477861780475,0.44956873541098813,0.0254982939596471,39
1.0937873522440593,0.013882730836105028,0.28991270065307617,0.01981374864085012,2,2,2,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.4893467345213372,0.5225972860806626,0.5459266478209459,0.5192902228076486,0.023216720237314574,32
0.0683436393737793,0.010501315927328427,0.032504876454671226,0.0016244838488474556,2,2,5,1,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1}",0.18311036789297658,0.20034643124998644,0.1810623628258514,0.18817305398960482,0.008648387773892702,53
0.1638828913370768,0.004755551338958237,0.0679918924967448,0.00883550266310289,2,2,5,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.47474752999258113,0.4146238976225785,0.45933477861780475,0.44956873541098813,0.0254982939596471,39
1.1340592702229817,0.052003872127610554,0.27465979258219403,0.012333409465177768,2,2,5,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.4893467345213372,0.5225972860806626,0.5459266478209459,0.5192902228076486,0.023216720237314574,32
0.07011119524637859,0.0084911325689316,0.043564558029174805,0.005280861067639262,5,1,2,1,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.3246366451962569,0.3859466048486123,0.3739872319956953,0.3615234940135215,0.02653596755989341,44
0.22060871124267578,0.024937107966884753,0.07331665356953938,0.0163083199497549,5,1,2,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.6797729861659323,0.7358778942623395,0.6780682015561431,0.6979063606614716,0.026858947554993316,22
1.7691336472829182,0.015316554811802236,0.29246719678243,0.042372531450581764,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8118427527444525,0.8278299382135547,0.7921593252586013,0.8106106720722028,0.014588504018180879,17
0.0967855453491211,0.0177476532157066,0.0573731263478597,0.023326130766351663,5,1,5,1,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.3263104179516477,0.38658918908998213,0.3739872319956953,0.36229561301244173,0.025960264871839625,41
0.20999964078267416,0.012433009734692954,0.05305870374043783,0.006578004385545993,5,1,5,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.6803218450937928,0.7359756432853717,0.677504129077085,0.6979338724854164,0.026924179035270453,21
1.7255945205688477,0.03950743926463238,0.28093910217285156,0.01125921756137375,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8119444587274136,0.8269025272546019,0.7916236642568925,0.8101568834129694,0.014457895483815432,18
0.082823912302653,0.011038824341779383,0.04100179672241211,0.0034853541150027755,5,2,2,1,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1}",0.32547269124228984,0.38658918908998213,0.3728632712666453,0.3616417171996391,0.026182042625316083,42
